id	village	rus_village	lat	lon	lang	aff	family	standard	default_level	dialect_toplevel	dialect_toplevel_cyr	dialect_nt1	dialect_nt1_cyr	dialect_nt2	dialect_nt2_cyr	dialect_nt3	dialect_nt3_cyr	village_dialect	gltc_lang	lang_col	aff_col	dataset_version
249	Kudali	Кудали	42.3678	47.0789	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Salta	Салтинский	NA	NA	Kudali	avar1256	#009999	#009999	2022-03-07
250	Genta	Гента	42.37001	46.56099	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Genta	avar1256	#009999	#009999	2022-03-07
251	Ravkvatl'	Равкватль	42.372455	46.579617	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Ravkvatl'	avar1256	#009999	#009999	2022-03-07
252	Keger	Кегер	42.3767	47.0275	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Keger	Кегерский	NA	NA	Keger	avar1256	#009999	#009999	2022-03-07
253	Machada	Мачада	42.37839	46.53725	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Machada	avar1256	#009999	#009999	2022-03-07
254	Dagbash	Дагбаш	42.380347	46.351961	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Dagbash	avar1256	#009999	#009999	2022-03-07
255	Urada	Урада	42.3822	46.5617	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Urada	avar1256	#009999	#009999	2022-03-07
256	Silta	Силта	42.38728	47.07127	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Silta	avar1256	#009999	#009999	2022-03-07
257	Gunib	Гуниб	42.388232	46.962258	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Batlukh	Батлухский	NA	NA	NA	NA	Gunib	avar1256	#009999	#009999	2022-03-07
258	Tidib	Тидиб	42.3889	46.5742	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Tidib	avar1256	#009999	#009999	2022-03-07
259	Tlyakh	Тлях	42.389928	46.540021	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Tlyakh	avar1256	#009999	#009999	2022-03-07
260	Metrada	Метрада	42.393034	45.888954	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Metrada	avar1256	#009999	#009999	2022-03-07
261	Khotoda	Хотода	42.39393	46.559446	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Gid	Гидский	NA	NA	NA	NA	Khotoda	avar1256	#009999	#009999	2022-03-07
262	Salta	Салта	42.39589	47.07048	Avar	Avar	East Caucasian		Avar	Southern Avar	Южноаварский	Andalal	Андалальский	Salta	Салтинский	NA	NA	Salta	avar1256	#009999	#009999	2022-03-07
263	Khuchada	Хучада	42.400235	46.469178	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Khuchada	avar1256	#009999	#009999	2022-03-07
264	Khamagib	Хамагиб	42.402538	46.850422	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Khamagib	avar1256	#009999	#009999	2022-03-07
265	Obonub	Обонуб	42.40556	46.83972	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Obonub	avar1256	#009999	#009999	2022-03-07
266	Enseruda	Энсеруда	42.40611	46.85278	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Enseruda	avar1256	#009999	#009999	2022-03-07
267	Chonob	Чоноб	42.407667	46.853808	Avar	Avar	East Caucasian		Avar	NA	NA	NA	NA	NA	NA	NA	NA	Chonob	avar1256	#009999	#009999	2022-03-07
