id,village,lat,lon,lang,idiom,republic,region,elevation,kutans,comment,elevation_ETOPO1,diff
152,Mogrob,42.15672,46.86521,Avar,NA,Dagestan,NA,1958.77600097656,FALSE,NA,1892,66.77600097656
153,Irib,42.1606,46.8169,Avar,NA,Dagestan,NA,1646.95629882813,FALSE,NA,1770,-123.04370117187
154,Childa,42.16328,46.34734,Avar,NA,Dagestan,NA,1513.40502929688,FALSE,NA,1557,-43.59497070312
155,Anada,42.17306,46.36917,Avar,NA,Dagestan,NA,1882.53393554688,FALSE,NA,1901,-18.466064453119998
156,Baginub,42.1743,46.88159,Avar,NA,Dagestan,NA,1917.81408691406,FALSE,NA,1820,97.81408691406
157,Khinub,42.17454,46.82406,Avar,NA,Dagestan,NA,1703.35925292969,FALSE,NA,1770,-66.64074707031
158,Kuchrab,42.17506,46.90244,Avar,NA,Dagestan,NA,2011.05798339844,FALSE,NA,2296,-284.94201660156
159,Khidib,42.17812,46.36299,Avar,NA,Dagestan,NA,1924.07897949219,FALSE,NA,2002,-77.92102050781
160,Tlobzoda,42.17944,46.37111,Avar,NA,Dagestan,NA,1894.05444335938,FALSE,NA,2002,-107.94555664062
161,Khurukh,42.18441,46.85807,Avar,NA,Dagestan,NA,1774.28857421875,FALSE,NA,1899,-124.71142578125
162,Rul'dab,42.18472,46.85028,Avar,NA,Dagestan,NA,1990.74951171875,FALSE,NA,1899,91.74951171875
163,Khuty,42.1875,47.07,Avar,NA,Dagestan,NA,1740.40795898438,FALSE,NA,1811,-70.59204101562
164,Katroso,42.188329,46.33021,Avar,NA,Dagestan,NA,1658.35485839844,FALSE,NA,1474,184.35485839844
165,Antsukh,42.1892,46.3397,Avar,NA,Dagestan,NA,1336.34020996094,FALSE,NA,1474,-137.65979003906
166,Gebguda,42.190026,46.354817,Avar,NA,Dagestan,NA,1754.84094238281,FALSE,NA,1516,238.84094238281
167,Chadakolob,42.19182,46.31981,Avar,NA,Dagestan,NA,1735.08715820313,FALSE,NA,1628,107.08715820313
168,Khorta,42.19329,46.35976,Avar,NA,Dagestan,NA,2016.37036132812,FALSE,NA,1862,154.37036132812
169,Chododa,42.193439,46.314784,Avar,NA,Dagestan,NA,1868.45288085938,FALSE,NA,1628,240.45288085938
170,Noyrukh,42.193895,46.38005,Avar,NA,Dagestan,NA,1839.22424316406,FALSE,NA,1688,151.22424316406
171,Magar,42.19546,46.843669,Avar,NA,Dagestan,NA,1493.29748535156,FALSE,NA,1725,-231.70251464844
172,Mukutl',42.19562,46.861381,Avar,NA,Dagestan,NA,1776.84460449219,FALSE,NA,2044,-267.15539550781
173,Zhazhada,42.197157,46.424903,Avar,NA,Dagestan,NA,1892.42785644531,FALSE,NA,1926,-33.57214355469
174,Mazada,42.197896,46.390092,Avar,NA,Dagestan,NA,1520.76599121094,FALSE,NA,1688,-167.23400878906
175,Nachada,42.198508,46.448902,Avar,NA,Dagestan,NA,1978.2109375,FALSE,NA,2141,-162.7890625
176,Tinchuda,42.19861,46.45306,Avar,NA,Dagestan,NA,2075.15209960937,FALSE,NA,2141,-65.84790039063
177,Niklida,42.199941,46.406485000000004,Avar,NA,Dagestan,NA,1930.87561035156,FALSE,NA,1804,126.87561035156
178,Bezhuda,42.200348,46.479175,Avar,NA,Dagestan,NA,2288.99243164062,FALSE,NA,2388,-99.00756835938
179,Rosta,42.20056,46.39667,Avar,NA,Dagestan,NA,1749.47485351563,FALSE,NA,1804,-54.52514648437
180,Khotlob,42.201243,46.432755,Avar,NA,Dagestan,NA,2185.55688476562,FALSE,NA,2046,139.55688476562
181,Sinida,42.20341,46.39071,Avar,NA,Dagestan,NA,1853.294921875,FALSE,NA,1688,165.294921875
182,Saraf,42.20373,46.31767,Avar,NA,Dagestan,NA,1393.35534667969,FALSE,NA,1628,-234.64465332031
183,Khobokh,42.204624,46.379234,Avar,NA,Dagestan,NA,1521.4111328125,FALSE,NA,1688,-166.5888671875
184,Chunib,42.20496,46.82498,Avar,NA,Dagestan,NA,1906.23962402344,FALSE,NA,2080,-173.76037597656
185,Kabasida,42.205771,46.341334,Avar,NA,Dagestan,NA,1751.28112792969,FALSE,NA,1682,69.28112792969
186,Machar,42.206556,46.335204,Avar,NA,Dagestan,NA,1998.26000976563,FALSE,NA,1682,316.26000976563
187,Tseneb,42.206684,46.842652,Avar,NA,Dagestan,NA,1687.95959472656,FALSE,NA,1725,-37.04040527344
188,Tamuda,42.21001,46.382,Avar,NA,Dagestan,NA,1894.44201660156,FALSE,NA,2070,-175.55798339844
189,Moschob,42.21389,46.79167,Avar,NA,Dagestan,NA,2301.80810546875,FALSE,NA,2057,244.80810546875
190,Shidib,42.214353,46.300745,Avar,NA,Dagestan,NA,1803.53063964844,FALSE,NA,1769,34.53063964844
191,Sodab,42.215081,46.81015,Avar,NA,Dagestan,NA,1771.49548339844,FALSE,NA,1818,-46.50451660156
192,Landa,42.218,46.27432,Avar,NA,Dagestan,NA,1536.74206542969,FALSE,NA,1809,-272.25793457031
193,Khantakolob,42.21944,46.29083,Avar,NA,Dagestan,NA,1864.17956542969,FALSE,NA,1729,135.17956542969
194,Bochokh,42.22,46.28472,Avar,NA,Dagestan,NA,1851.06127929688,FALSE,NA,1729,122.06127929688
195,Khintida,42.220547,46.275395,Avar,NA,Dagestan,NA,1642.04284667969,FALSE,NA,1729,-86.95715332031
196,Tokh,42.222292,46.291546,Avar,NA,Dagestan,NA,2026.470703125,FALSE,NA,1729,297.470703125
197,Kharada,42.222648,46.258528,Avar,NA,Dagestan,NA,2030.22509765625,FALSE,NA,1809,221.22509765625
198,Gidib,42.22942,46.80621,Avar,NA,Dagestan,NA,1776.49340820313,FALSE,NA,1990,-213.50659179687
199,Khadakolob,42.231683,46.261819,Avar,NA,Dagestan,NA,1701.15563964844,FALSE,NA,1892,-190.84436035156
200,Nukhotkolob,42.23195,46.265721,Avar,NA,Dagestan,NA,1659.62817382813,FALSE,NA,1892,-232.37182617187
201,Tsurib,42.235,46.8333,Avar,NA,Dagestan,NA,1461.7021484375,FALSE,NA,1483,-21.2978515625
202,Gochob,42.2375,46.6642,Avar,NA,Dagestan,NA,2019.77404785156,FALSE,NA,2057,-37.22595214844
203,Bukhty,42.240712,46.985633,Avar,NA,Dagestan,NA,1802.77905273438,FALSE,NA,1807,-4.220947265619998
204,Urukh-Sota,42.24222,46.67694,Avar,NA,Dagestan,NA,1820.29016113281,FALSE,NA,2001,-180.70983886719
205,Kosob,42.242893,46.368239,Avar,NA,Dagestan,NA,1307.34826660156,FALSE,NA,1707,-399.65173339844
206,Busutli,42.24512,46.363326,Avar,NA,Dagestan,NA,1554.62329101563,FALSE,NA,1707,-152.37670898437
207,Shitli,42.24574,47.01268,Avar,NA,Dagestan,NA,1825.56140136719,FALSE,NA,1786,39.56140136719
208,Shangoda,42.246859,47.000153,Avar,NA,Dagestan,NA,1504.90002441406,FALSE,NA,1565,-60.09997558594
209,Magitl',42.248081,46.366738,Avar,NA,Dagestan,NA,1526.85803222656,FALSE,NA,1707,-180.14196777344
210,Tsibari,42.25213,45.87861,Avar,NA,Dagestan,NA,1715.63928222656,FALSE,NA,1723,-7.360717773440001
211,Talukh,42.25652,46.74433,Avar,NA,Dagestan,NA,1978.36560058594,FALSE,NA,2128,-149.63439941406
212,Ikha,42.256944,45.820075,Avar,NA,Dagestan,NA,1752.49572753906,FALSE,NA,1981,-228.50427246094
213,Sachada,42.258411,46.699595,Avar,NA,Dagestan,NA,1873.79113769531,FALSE,NA,1939,-65.20886230469
214,Mugurukh,42.26064,46.86533,Avar,NA,Dagestan,NA,1733.83569335938,FALSE,NA,1712,21.835693359380002
215,Sumeta,42.262025,46.705541,Avar,NA,Dagestan,NA,1711.93078613281,FALSE,NA,1939,-227.06921386719
216,Nakazukh,42.264594,46.914238,Avar,NA,Dagestan,NA,2003.31921386719,FALSE,NA,1949,54.31921386719
217,Gidatli,42.266327,46.374506,Avar,NA,Dagestan,NA,1830.7548828125,FALSE,NA,2165,-334.2451171875
218,Utlukh,42.267533,46.730055,Avar,NA,Dagestan,NA,1636.49890136719,FALSE,NA,1772,-135.50109863281
219,Gochada,42.272626,46.765272,Avar,NA,Dagestan,NA,1557.75549316406,FALSE,NA,1725,-167.24450683594
220,Tsulda,42.27357,46.72095,Avar,NA,Dagestan,NA,1902.81481933594,FALSE,NA,1801,101.81481933594
221,Tlyarosh,42.275317,46.751805,Avar,NA,Dagestan,NA,1588.35888671875,FALSE,NA,1901,-312.64111328125
